,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,28732.0,12241.0,1340.0,4674.0,14418.0,17675.0,11779.0,9720.0,15292.0,7377.0,902.0,756.0,9246.0,182.0,8938.0,12255.0,2304.0,11067.0
fever,12241.0,21297.0,1345.0,3966.0,11555.0,13740.0,10006.0,8293.0,12524.0,6342.0,743.0,666.0,5785.0,172.0,5532.0,8339.0,2216.0,8423.0
altered_consciousness,1340.0,1345.0,2260.0,799.0,1842.0,1752.0,1473.0,1450.0,1654.0,1266.0,200.0,172.0,851.0,80.0,826.0,1127.0,550.0,1324.0
diarrhoea,4674.0,3966.0,799.0,8462.0,5482.0,6022.0,4459.0,4283.0,5352.0,3837.0,469.0,386.0,3067.0,98.0,3009.0,3876.0,1493.0,3986.0
fatigue,14418.0,11555.0,1842.0,5482.0,28528.0,20384.0,14904.0,12759.0,18503.0,9618.0,1066.0,967.0,10191.0,226.0,9876.0,12795.0,2688.0,12641.0
headache,17675.0,13740.0,1752.0,6022.0,20384.0,38315.0,17283.0,13589.0,22434.0,10845.0,1185.0,1052.0,13848.0,236.0,13143.0,17026.0,2825.0,15259.0
joint_pain,11779.0,10006.0,1473.0,4459.0,14904.0,17283.0,22906.0,10278.0,18495.0,7819.0,853.0,828.0,8228.0,173.0,8192.0,10885.0,2134.0,10081.0
loss_of_appetite,9720.0,8293.0,1450.0,4283.0,12759.0,13589.0,10278.0,18127.0,12228.0,8054.0,842.0,712.0,6745.0,188.0,6723.0,8608.0,2428.0,9643.0
muscle_ache,15292.0,12524.0,1654.0,5352.0,18503.0,22434.0,18495.0,12228.0,31438.0,9330.0,1004.0,965.0,11153.0,210.0,10742.0,14255.0,2465.0,12784.0
nausea,7377.0,6342.0,1266.0,3837.0,9618.0,10845.0,7819.0,8054.0,9330.0,13918.0,734.0,611.0,5116.0,167.0,5145.0,6762.0,2868.0,6668.0
nose_bleed,902.0,743.0,200.0,469.0,1066.0,1185.0,853.0,842.0,1004.0,734.0,1610.0,123.0,782.0,47.0,712.0,797.0,275.0,793.0
rash,756.0,666.0,172.0,386.0,967.0,1052.0,828.0,712.0,965.0,611.0,123.0,1444.0,576.0,29.0,620.0,706.0,206.0,715.0
runny_nose,9246.0,5785.0,851.0,3067.0,10191.0,13848.0,8228.0,6745.0,11153.0,5116.0,782.0,576.0,20821.0,121.0,12193.0,10445.0,1208.0,8840.0
seizures,182.0,172.0,80.0,98.0,226.0,236.0,173.0,188.0,210.0,167.0,47.0,29.0,121.0,336.0,120.0,152.0,92.0,154.0
sneezing,8938.0,5532.0,826.0,3009.0,9876.0,13143.0,8192.0,6723.0,10742.0,5145.0,712.0,620.0,12193.0,120.0,18445.0,9910.0,1143.0,8505.0
sore_throat,12255.0,8339.0,1127.0,3876.0,12795.0,17026.0,10885.0,8608.0,14255.0,6762.0,797.0,706.0,10445.0,152.0,9910.0,24182.0,1671.0,9501.0
vomiting,2304.0,2216.0,550.0,1493.0,2688.0,2825.0,2134.0,2428.0,2465.0,2868.0,275.0,206.0,1208.0,92.0,1143.0,1671.0,3919.0,1851.0
loss_of_smell_or_taste,11067.0,8423.0,1324.0,3986.0,12641.0,15259.0,10081.0,9643.0,12784.0,6668.0,793.0,715.0,8840.0,154.0,8505.0,9501.0,1851.0,24125.0
