,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,19372.0,8009.0,1705.0,3748.0,9145.0,6692.0,5491.0,6936.0,6401.0,4080.0,546.0,381.0,3459.0,157.0,3058.0,4160.0,1735.0,4890.0
fever,8009.0,15037.0,1873.0,3354.0,7710.0,5477.0,4756.0,6110.0,5488.0,3721.0,437.0,323.0,2334.0,158.0,2046.0,3015.0,1732.0,3938.0
altered_consciousness,1705.0,1873.0,3611.0,1227.0,2676.0,1418.0,1463.0,2178.0,1576.0,1296.0,190.0,136.0,771.0,123.0,646.0,850.0,656.0,1065.0
diarrhoea,3748.0,3354.0,1227.0,7643.0,5097.0,3370.0,3045.0,4542.0,3382.0,3134.0,380.0,294.0,1753.0,106.0,1545.0,1921.0,1604.0,2513.0
fatigue,9145.0,7710.0,2676.0,5097.0,19233.0,8288.0,7538.0,10357.0,8625.0,5831.0,726.0,539.0,4000.0,223.0,3572.0,4613.0,2366.0,5719.0
headache,6692.0,5477.0,1418.0,3370.0,8288.0,13592.0,6382.0,6332.0,7277.0,4548.0,556.0,418.0,3610.0,135.0,3352.0,4452.0,1659.0,4558.0
joint_pain,5491.0,4756.0,1463.0,3045.0,7538.0,6382.0,10793.0,5906.0,8100.0,3850.0,478.0,383.0,2832.0,144.0,2597.0,3439.0,1464.0,3907.0
loss_of_appetite,6936.0,6110.0,2178.0,4542.0,10357.0,6332.0,5906.0,14267.0,6688.0,5505.0,654.0,470.0,3127.0,188.0,2778.0,3682.0,2233.0,5087.0
muscle_ache,6401.0,5488.0,1576.0,3382.0,8625.0,7277.0,8100.0,6688.0,12916.0,4279.0,545.0,398.0,3291.0,136.0,3002.0,3966.0,1599.0,4396.0
nausea,4080.0,3721.0,1296.0,3134.0,5831.0,4548.0,3850.0,5505.0,4279.0,8198.0,433.0,302.0,2024.0,123.0,1832.0,2484.0,2331.0,2996.0
nose_bleed,546.0,437.0,190.0,380.0,726.0,556.0,478.0,654.0,545.0,433.0,1005.0,85.0,379.0,30.0,313.0,321.0,174.0,397.0
rash,381.0,323.0,136.0,294.0,539.0,418.0,383.0,470.0,398.0,302.0,85.0,794.0,252.0,19.0,235.0,261.0,142.0,296.0
runny_nose,3459.0,2334.0,771.0,1753.0,4000.0,3610.0,2832.0,3127.0,3291.0,2024.0,379.0,252.0,7164.0,86.0,3300.0,2544.0,782.0,2291.0
seizures,157.0,158.0,123.0,106.0,223.0,135.0,144.0,188.0,136.0,123.0,30.0,19.0,86.0,327.0,72.0,99.0,54.0,98.0
sneezing,3058.0,2046.0,646.0,1545.0,3572.0,3352.0,2597.0,2778.0,3002.0,1832.0,313.0,235.0,3300.0,72.0,5865.0,2300.0,661.0,2129.0
sore_throat,4160.0,3015.0,850.0,1921.0,4613.0,4452.0,3439.0,3682.0,3966.0,2484.0,321.0,261.0,2544.0,99.0,2300.0,7902.0,958.0,2663.0
vomiting,1735.0,1732.0,656.0,1604.0,2366.0,1659.0,1464.0,2233.0,1599.0,2331.0,174.0,142.0,782.0,54.0,661.0,958.0,3473.0,1151.0
loss_of_smell_or_taste,4890.0,3938.0,1065.0,2513.0,5719.0,4558.0,3907.0,5087.0,4396.0,2996.0,397.0,296.0,2291.0,98.0,2129.0,2663.0,1151.0,9249.0
