,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,2084.0,1014.0,50.0,263.0,544.0,575.0,245.0,424.0,344.0,195.0,30.0,91.0,639.0,21.0,527.0,569.0,174.0,287.0
fever,1014.0,2585.0,69.0,337.0,709.0,764.0,309.0,577.0,436.0,301.0,43.0,133.0,622.0,28.0,497.0,604.0,275.0,296.0
altered_consciousness,50.0,69.0,114.0,28.0,75.0,55.0,23.0,56.0,40.0,40.0,10.0,15.0,38.0,7.0,46.0,45.0,31.0,30.0
diarrhoea,263.0,337.0,28.0,593.0,250.0,163.0,87.0,231.0,108.0,112.0,25.0,68.0,223.0,12.0,214.0,176.0,143.0,88.0
fatigue,544.0,709.0,75.0,250.0,1341.0,613.0,304.0,510.0,426.0,281.0,49.0,100.0,473.0,26.0,435.0,482.0,179.0,312.0
headache,575.0,764.0,55.0,163.0,613.0,1731.0,384.0,388.0,535.0,326.0,50.0,57.0,468.0,12.0,414.0,667.0,112.0,423.0
joint_pain,245.0,309.0,23.0,87.0,304.0,384.0,554.0,203.0,415.0,162.0,15.0,27.0,188.0,5.0,182.0,259.0,55.0,175.0
loss_of_appetite,424.0,577.0,56.0,231.0,510.0,388.0,203.0,954.0,263.0,252.0,41.0,87.0,353.0,17.0,349.0,365.0,191.0,232.0
muscle_ache,344.0,436.0,40.0,108.0,426.0,535.0,415.0,263.0,821.0,192.0,23.0,42.0,262.0,6.0,249.0,366.0,73.0,239.0
nausea,195.0,301.0,40.0,112.0,281.0,326.0,162.0,252.0,192.0,571.0,30.0,37.0,170.0,8.0,177.0,238.0,158.0,140.0
nose_bleed,30.0,43.0,10.0,25.0,49.0,50.0,15.0,41.0,23.0,30.0,110.0,13.0,43.0,2.0,34.0,41.0,15.0,20.0
rash,91.0,133.0,15.0,68.0,100.0,57.0,27.0,87.0,42.0,37.0,13.0,234.0,83.0,5.0,75.0,66.0,47.0,26.0
runny_nose,639.0,622.0,38.0,223.0,473.0,468.0,188.0,353.0,262.0,170.0,43.0,83.0,1517.0,17.0,654.0,497.0,127.0,266.0
seizures,21.0,28.0,7.0,12.0,26.0,12.0,5.0,17.0,6.0,8.0,2.0,5.0,17.0,62.0,13.0,13.0,14.0,4.0
sneezing,527.0,497.0,46.0,214.0,435.0,414.0,182.0,349.0,249.0,177.0,34.0,75.0,654.0,13.0,1094.0,419.0,131.0,197.0
sore_throat,569.0,604.0,45.0,176.0,482.0,667.0,259.0,365.0,366.0,238.0,41.0,66.0,497.0,13.0,419.0,1341.0,98.0,310.0
vomiting,174.0,275.0,31.0,143.0,179.0,112.0,55.0,191.0,73.0,158.0,15.0,47.0,127.0,14.0,131.0,98.0,440.0,56.0
loss_of_smell_or_taste,287.0,296.0,30.0,88.0,312.0,423.0,175.0,232.0,239.0,140.0,20.0,26.0,266.0,4.0,197.0,310.0,56.0,868.0
