,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.6760798221469405,0.954801497622019,0.8562246278755075,0.66328197945845,0.6420093173992303,0.7043886282086669,0.7381785868160275,0.6591496568321598,0.7907735057275718,0.9693243197336685,0.9743005744977394,0.7706333258911959,0.9936987155073919,0.7661950466825326,0.6986176702085793,0.9240681541047359,0.8324550291360527,0.7351681225320091
fever,0.6760798221469405,0.0,0.9395290197667612,0.8460852367471982,0.6980717980874745,0.7005646022714886,0.7073291998128217,0.7336095853008255,0.6883627229089462,0.7803255975060617,0.9664275077839448,0.9698260239217108,0.8407639806252752,0.991984341504334,0.8382589377064515,0.7755398782917766,0.9036354148547574,0.8486996931692931,0.7723414607774234
altered_consciousness,0.954801497622019,0.9395290197667612,0.0,0.9195726668010482,0.9364509221523797,0.9548967080521353,0.937821865766146,0.9235480464625132,0.9483883046775049,0.9153087909877289,0.9454892341237394,0.9512747875354107,0.9617270069709917,0.9681782020684169,0.9585030934057643,0.9555151706700379,0.9026297085998578,0.95808319608989,0.9472423976374811
diarrhoea,0.8562246278755075,0.8460852367471982,0.9195726668010482,0.0,0.825982103192232,0.8522671508489548,0.8343305213868966,0.8081215543902112,0.8451743597163942,0.7930755541174567,0.9510569613662397,0.9594537815126051,0.8831267874165872,0.988735632183908,0.8741527905614593,0.8654153632255822,0.8626550298576022,0.8995268340508973,0.8605797810959191
fatigue,0.66328197945845,0.6980717980874745,0.9364509221523797,0.825982103192232,0.0,0.5611682665403986,0.59196912465101,0.6236654279478558,0.5535727204765235,0.7070110251568497,0.9633081155433287,0.9666701133974426,0.7396854575163399,0.9921105913565594,0.7338238068289002,0.6795250738940934,0.9096956258818787,0.8132305782559222,0.6840434836936149
headache,0.6420093173992303,0.7005646022714886,0.9548967080521353,0.8522671508489548,0.5611682665403986,0.0,0.6066730392826255,0.6828841442072103,0.5259487786324064,0.737998018797265,0.9693856479091378,0.9728479900795701,0.6940979045684382,0.9938565664453989,0.6986335916364803,0.6256075300741132,0.928314047909054,0.801347888809939,0.6765372957161329
joint_pain,0.7043886282086669,0.7073291998128217,0.937821865766146,0.8343305213868966,0.59196912465101,0.6066730392826255,0.0,0.6656586349299255,0.4841858648965248,0.7304602654714705,0.9639083762995521,0.9648414250488904,0.7683620592542526,0.9925004335009537,0.7530756241707875,0.6995608583975474,0.9134767286426054,0.837822233769233,0.7272112157626935
loss_of_appetite,0.7381785868160275,0.7336095853008255,0.9235480464625132,0.8081215543902112,0.6236654279478558,0.6828841442072103,0.6656586349299255,0.0,0.6723177459960362,0.6644440740123354,0.9554473781681571,0.9622521471742127,0.7905749410157705,0.9897144107670424,0.7748115893485178,0.7446966325470998,0.8763632657221486,0.8434536032071966,0.7042046186401693
muscle_ache,0.6591496568321598,0.6883627229089462,0.9483883046775049,0.8451743597163942,0.5535727204765235,0.5259487786324064,0.4841858648965248,0.6723177459960362,0.0,0.7410563126196886,0.9686739469578783,0.9697700645322975,0.7286944255277751,0.9933479045899458,0.7255147396924334,0.6555074810857847,0.9250341997264022,0.8131870804552972,0.7010543048834654
nausea,0.7907735057275718,0.7803255975060617,0.9153087909877289,0.7930755541174567,0.7070110251568497,0.737998018797265,0.7304602654714705,0.6644440740123354,0.7410563126196886,0.0,0.9503176963633906,0.9585790793844485,0.8272975800735766,0.9881450983175978,0.8110788671344084,0.7844813834029927,0.8084708397354533,0.8610969480661373,0.7873378175906149
nose_bleed,0.9693243197336685,0.9664275077839448,0.9454892341237394,0.9510569613662397,0.9633081155433287,0.9693856479091378,0.9639083762995521,0.9554473781681571,0.9686739469578783,0.9503176963633906,0.0,0.9580491132332879,0.9638915823983008,0.9752631578947368,0.9631984286969556,0.9681123469632712,0.9474585950885208,0.9759166261677197,0.9681623160511649
rash,0.9743005744977394,0.9698260239217108,0.9512747875354107,0.9594537815126051,0.9666701133974426,0.9728479900795701,0.9648414250488904,0.9622521471742127,0.9697700645322975,0.9585790793844485,0.9580491132332879,0.0,0.9734040101405854,0.9834380354083381,0.9677754138342587,0.971625797648192,0.9600465477114042,0.9751390251880929,0.9712699179140512
runny_nose,0.7706333258911959,0.8407639806252752,0.9617270069709917,0.8831267874165872,0.7396854575163399,0.6940979045684382,0.7683620592542526,0.7905749410157705,0.7286944255277751,0.8272975800735766,0.9638915823983008,0.9734040101405854,0.0,0.9942498693152118,0.5496307237813884,0.6977605462646838,0.9486787322627241,0.8531867603772452,0.7552269391598128
seizures,0.9936987155073919,0.991984341504334,0.9681782020684169,0.988735632183908,0.9921105913565594,0.9938565664453989,0.9925004335009537,0.9897144107670424,0.9933479045899458,0.9881450983175978,0.9752631578947368,0.9834380354083381,0.9942498693152118,0.0,0.9935705100728676,0.993761287144968,0.9778952426717924,0.9943149516770893,0.993663594470046
sneezing,0.7661950466825326,0.8382589377064515,0.9585030934057643,0.8741527905614593,0.7338238068289002,0.6986335916364803,0.7530756241707875,0.7748115893485178,0.7255147396924334,0.8110788671344084,0.9631984286969556,0.9677754138342587,0.5496307237813884,0.9935705100728676,0.0,0.6971086252215906,0.9461433350610187,0.8508425613866153,0.7504036164029706
sore_throat,0.6986176702085793,0.7755398782917766,0.9555151706700379,0.8654153632255822,0.6795250738940934,0.6256075300741132,0.6995608583975474,0.7446966325470998,0.6555074810857847,0.7844813834029927,0.9681123469632712,0.971625797648192,0.6977605462646838,0.993761287144968,0.6971086252215906,0.0,0.9368094445285303,0.8387619873067352,0.7552634969720396
vomiting,0.9240681541047359,0.9036354148547574,0.9026297085998578,0.8626550298576022,0.9096956258818787,0.928314047909054,0.9134767286426054,0.8763632657221486,0.9250341997264022,0.8084708397354533,0.9474585950885208,0.9600465477114042,0.9486787322627241,0.9778952426717924,0.9461433350610187,0.9368094445285303,0.0,0.9435836313071116,0.9293214708465386
other_symptoms,0.8324550291360527,0.8486996931692931,0.95808319608989,0.8995268340508973,0.8132305782559222,0.801347888809939,0.837822233769233,0.8434536032071966,0.8131870804552972,0.8610969480661373,0.9759166261677197,0.9751390251880929,0.8531867603772452,0.9943149516770893,0.8508425613866153,0.8387619873067352,0.9435836313071116,0.0,0.8411288069293099
loss_of_smell_or_taste,0.7351681225320091,0.7723414607774234,0.9472423976374811,0.8605797810959191,0.6840434836936149,0.6765372957161329,0.7272112157626935,0.7042046186401693,0.7010543048834654,0.7873378175906149,0.9681623160511649,0.9712699179140512,0.7552269391598128,0.993663594470046,0.7504036164029706,0.7552634969720396,0.9293214708465386,0.8411288069293099,0.0
