,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.6965679218122585,0.9198589894242069,0.8388857842926536,0.689714867617108,0.7453562728380024,0.7775210765239948,0.7403565276009287,0.7529266313796701,0.8264146123387406,0.9724113582488526,0.9807410402871152,0.8500216731686172,0.9920167852208178,0.8620518602029312,0.8200424040500195,0.9177958874253767,0.8142470098460318,0.793923047747482
fever,0.6965679218122585,0.0,0.8884253188699487,0.8264603921974439,0.7097733604397259,0.763356800414633,0.7742134484885873,0.7364722114431078,0.7556544968833482,0.8093066161020858,0.9719338715878508,0.9791760685964799,0.8825128360012081,0.9895449763282483,0.8915049315940184,0.8485669828841038,0.8967757315692234,0.8279729629354527,0.8063200314527226
altered_consciousness,0.9198589894242069,0.8884253188699487,0.0,0.8777301286526379,0.867364141213804,0.9102426046747324,0.887025732169075,0.8613375796178344,0.8946875418172087,0.8766888677450048,0.9570718481699051,0.9681498829039813,0.9230153969206158,0.9677672955974843,0.9269618389763333,0.9203788802400825,0.8979306052590633,0.9255404323458767,0.9098075781978469
diarrhoea,0.8388857842926536,0.8264603921974439,0.8777301286526379,0.0,0.7660023877307375,0.8113630002798768,0.8020535482193918,0.7384544512265346,0.8030170656415633,0.7531884742560226,0.954034111527761,0.9638953702566622,0.8656704980842912,0.9863919623553351,0.8708409964888815,0.8589781236235502,0.8312125354926911,0.8889961833816159,0.8252312400027818
fatigue,0.689714867617108,0.7097733604397259,0.867364141213804,0.7660023877307375,0.0,0.6622243958104088,0.6648285676168453,0.5526270307639128,0.6334608843537415,0.7302314814814815,0.9627370579190159,0.9722892184533278,0.8215306304697267,0.9884677044008895,0.8341075908204032,0.7952668501909245,0.8837209302325582,0.792195945945946,0.7488139167105957
headache,0.7453562728380024,0.763356800414633,0.9102426046747324,0.8113630002798768,0.6622243958104088,0.0,0.6455787602754943,0.7058577600222976,0.6216975244435199,0.7363414917062986,0.9603304607933908,0.9700050110959982,0.789501312335958,0.9902074568402728,0.7918788029305849,0.7387630559793451,0.8923146825911983,0.8437140004607941,0.7506563115292059
joint_pain,0.7775210765239948,0.7742134484885873,0.887025732169075,0.8020535482193918,0.6648285676168453,0.6455787602754943,0.0,0.691624895572264,0.48109459113047937,0.7459048877146631,0.9576780349885139,0.9657234669285013,0.8127107995502942,0.9866958264989977,0.815207340493634,0.7745509374590271,0.8857120537458011,0.8649738176377691,0.7579325731284086
loss_of_appetite,0.7403565276009287,0.7364722114431078,0.8613375796178344,0.7384544512265346,0.5526270307639128,0.7058577600222976,0.691624895572264,0.0,0.6738727308217841,0.6755704935432514,0.9552575767941438,0.9677176148046607,0.8292536334826794,0.986879555709823,0.8400460962258715,0.8008114687584528,0.8559819413092551,0.8168261654944464,0.7242445613844735
muscle_ache,0.7529266313796701,0.7556544968833482,0.8946875418172087,0.8030170656415633,0.6334608843537415,0.6216975244435199,0.48109459113047937,0.6738727308217841,0.0,0.7460487225193108,0.9592340489191413,0.9700886817976853,0.8040045289315297,0.9895419847328244,0.8096626933806746,0.7647652401020953,0.8919778138528138,0.8420099948845079,0.7527299335809974
nausea,0.8264146123387406,0.8093066161020858,0.8766888677450048,0.7531884742560226,0.7302314814814815,0.7363414917062986,0.7459048877146631,0.6755704935432514,0.7460487225193108,0.0,0.9506102429565416,0.9651202946932198,0.8484439445069366,0.9853571428571428,0.8502739389974651,0.81786133960047,0.7504551783228017,0.8775547279498592,0.7926500103813413
nose_bleed,0.9724113582488526,0.9719338715878508,0.9570718481699051,0.954034111527761,0.9627370579190159,0.9603304607933908,0.9576780349885139,0.9552575767941438,0.9592340489191413,0.9506102429565416,0.0,0.9504373177842566,0.9513291383074355,0.9769762087490407,0.9521049420378279,0.9624883504193849,0.9595630955147572,0.9780732446932587,0.9596226032261337
rash,0.9807410402871152,0.9791760685964799,0.9681498829039813,0.9638953702566622,0.9722892184533278,0.9700050110959982,0.9657234669285013,0.9677176148046607,0.9700886817976853,0.9651202946932198,0.9504373177842566,0.0,0.9672897196261683,0.9818676337262012,0.9634241245136187,0.9690574985180794,0.9653249272550921,0.9813496499382244,0.9695322117357407
runny_nose,0.8500216731686172,0.8825128360012081,0.9230153969206158,0.8656704980842912,0.8215306304697267,0.789501312335958,0.8127107995502942,0.8292536334826794,0.8040045289315297,0.8484439445069366,0.9513291383074355,0.9672897196261683,0.0,0.9882464198865172,0.6608409581577054,0.7968687594855819,0.9208362935146656,0.8989631282838145,0.8377478753541077
seizures,0.9920167852208178,0.9895449763282483,0.9677672955974843,0.9863919623553351,0.9884677044008895,0.9902074568402728,0.9866958264989977,0.986879555709823,0.9895419847328244,0.9853571428571428,0.9769762087490407,0.9818676337262012,0.9882464198865172,0.0,0.9880718954248366,0.9878228782287823,0.9853137516688919,0.9929463805367924,0.9895558603228188
