,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7222222222222222,0.9767333643555142,0.8910973084886128,0.8111766747657063,0.8225308641975309,0.8976608187134503,0.8378585086042065,0.8656774697383834,0.920796100731113,0.9861367837338263,0.9591745177209511,0.7843401957475532,0.9901222953904045,0.8012820512820513,0.8007703081232493,0.9260204081632653,0.8889257294429708,0.8923884514435696
fever,0.7222222222222222,0.0,0.9737542791936097,0.8813380281690141,0.7798507462686567,0.7851309490284427,0.8907741251325557,0.8055367994598245,0.8530997304582211,0.8945709281961471,0.9837735849056604,0.9504839910647803,0.821551724137931,0.9893048128342246,0.8437598239547313,0.8184281842818428,0.9,0.8622931442080378,0.9062401013620526
altered_consciousness,0.9767333643555142,0.9737542791936097,0.0,0.9587628865979382,0.9456127628716461,0.9692565679150363,0.9643410852713178,0.9446640316205533,0.9552572706935123,0.9380804953560371,0.9530516431924883,0.9550898203592815,0.9761456371625863,0.9585798816568047,0.9604130808950087,0.9680624556422995,0.9408396946564885,0.9662921348314607,0.968520461699895
diarrhoea,0.8910973084886128,0.8813380281690141,0.9587628865979382,0.0,0.851455733808675,0.924537037037037,0.9179245283018868,0.824468085106383,0.9172413793103448,0.8936372269705603,0.9630723781388478,0.9105263157894737,0.8818229994700583,0.9813374805598756,0.8547182620502376,0.8998292544109278,0.8395061728395061,0.9128654970760234,0.9359534206695779
fatigue,0.8111766747657063,0.7798507462686567,0.9456127628716461,0.851455733808675,0.0,0.7510170870626526,0.8088050314465409,0.7148459383753502,0.754325259515571,0.8277130594727161,0.965,0.9322033898305084,0.8020964360587002,0.9811046511627907,0.7823911955977989,0.7812642110050023,0.8882646691635455,0.861013986013986,0.8355297838692672
headache,0.8225308641975309,0.7851309490284427,0.9692565679150363,0.924537037037037,0.7510170870626526,0.0,0.7978947368421052,0.8315193730953417,0.7351190476190477,0.8350202429149798,0.9720514253773057,0.970125786163522,0.8320143884892086,0.9932584269662922,0.8282157676348548,0.7229617304492513,0.9456046624575036,0.8732606242948476,0.8045078196872125
joint_pain,0.8976608187134503,0.8907741251325557,0.9643410852713178,0.9179245283018868,0.8088050314465409,0.7978947368421052,0.0,0.8444444444444444,0.5672575599582899,0.8319502074688797,0.9768518518518519,0.9645669291338582,0.9001593202336696,0.9918166939443536,0.8758526603001364,0.8415902140672783,0.9414893617021277,0.9192399049881235,0.8597756410256411
loss_of_appetite,0.8378585086042065,0.8055367994598245,0.9446640316205533,0.824468085106383,0.7148459383753502,0.8315193730953417,0.8444444444444444,0.0,0.8259430840502978,0.8021978021978022,0.9598825831702544,0.9200726612170754,0.8338839075035394,0.982982982982983,0.794585050029429,0.81139896373057,0.8413621262458472,0.8782213239009601,0.8541797611565053
muscle_ache,0.8656774697383834,0.8530997304582211,0.9552572706935123,0.9172413793103448,0.754325259515571,0.7351190476190477,0.5672575599582899,0.8259430840502978,0.0,0.84,0.9746136865342163,0.9585389930898321,0.8737349397590362,0.9931506849315068,0.8504504504504504,0.7959866220735786,0.9385521885521886,0.9032597266035752,0.8351724137931035
nausea,0.920796100731113,0.8945709281961471,0.9380804953560371,0.8936372269705603,0.8277130594727161,0.8350202429149798,0.8319502074688797,0.8021978021978022,0.84,0.0,0.9539170506912442,0.951948051948052,0.9114121938509641,0.987220447284345,0.8811282740094023,0.8578255675029869,0.8138173302107728,0.9169121979964644,0.8923904688700999
nose_bleed,0.9861367837338263,0.9837735849056604,0.9530516431924883,0.9630723781388478,0.965,0.9720514253773057,0.9768518518518519,0.9598825831702544,0.9746136865342163,0.9539170506912442,0.0,0.9607250755287009,0.9728363866077069,0.9881656804733728,0.9709153122326775,0.9708806818181818,0.9719626168224299,0.9799703264094956,0.9791231732776617
rash,0.9591745177209511,0.9504839910647803,0.9550898203592815,0.9105263157894737,0.9322033898305084,0.970125786163522,0.9645669291338582,0.9200726612170754,0.9585389930898321,0.951948051948052,0.9607250755287009,0.0,0.9502696225284601,0.9828767123287672,0.9401913875598086,0.9562624254473161,0.9252782193958664,0.9466666666666667,0.9758812615955473
runny_nose,0.7843401957475532,0.821551724137931,0.9761456371625863,0.8818229994700583,0.8020964360587002,0.8320143884892086,0.9001593202336696,0.8338839075035394,0.8737349397590362,0.9114121938509641,0.9728363866077069,0.9502696225284601,0.0,0.9891165172855314,0.6658150229943791,0.7899195256247353,0.9306389950846532,0.8827780008028904,0.8745283018867924
