,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.6760611834444797,0.9548091191150682,0.8562730627306273,0.6634610895849867,0.6420035647735559,0.7044833036453498,0.7382805137456582,0.6592539774499755,0.7908598644855839,0.9693614130434782,0.9743031951053704,0.7706105639218994,0.9936993699369937,0.7662595779178326,0.6985907179222313,0.9240781625860875,0.7351758793969849
fever,0.6760611834444797,0.0,0.939447145687016,0.8462373512193231,0.6980663705252156,0.7004708754795954,0.7074012340263766,0.7336095853008255,0.6885429360125339,0.7803484224015517,0.966477170185887,0.9698301245753115,0.8407783557647318,0.9919854620008387,0.8382928968137972,0.7754711900915455,0.9036521739130435,0.7723451985188788
altered_consciousness,0.9548091191150682,0.939447145687016,0.0,0.919479995968961,0.9363642644925033,0.9548721118924349,0.9378297387414004,0.9234303215926493,0.9483834727250031,0.9151019313304721,0.9455040871934605,0.9513023782559457,0.9617183985605038,0.9682034976152624,0.9584486141153982,0.9554809401540588,0.902291703677385,0.9471689078648099
diarrhoea,0.8562730627306273,0.8462373512193231,0.919479995968961,0.0,0.826012441284753,0.8522389890810943,0.8342933590991861,0.8079888819151798,0.8450850989927058,0.7930755541174567,0.9511610954909924,0.9594537815126051,0.8830103753433018,0.988735632183908,0.8740898819984936,0.8652669632925473,0.8628765613519471,0.8606342435579175
fatigue,0.6634610895849867,0.6980663705252156,0.9363642644925033,0.826012441284753,0.0,0.5612475516046407,0.592006569942513,0.623583903705452,0.5537467139377276,0.7070183989277447,0.9633324160704458,0.966660920530943,0.7397466673476685,0.9921083874572246,0.7337790117799283,0.6794438181134912,0.9096743842198999,0.6840697790662801
headache,0.6420035647735559,0.7004708754795954,0.9548721118924349,0.8522389890810943,0.5612475516046407,0.0,0.6066502799399154,0.6828926796256971,0.5258986876307614,0.737967526819368,0.9694114610221993,0.972821453483866,0.694223635400106,0.9938565664453989,0.6986725359378224,0.6255635459963493,0.9283158669339491,0.6765859138212416
joint_pain,0.7044833036453498,0.7074012340263766,0.9378297387414004,0.8342933590991861,0.592006569942513,0.6066502799399154,0.0,0.6658104373272639,0.48408602750425395,0.730425788657128,0.9639521616025017,0.964798911657172,0.7682188230654384,0.9925007585937838,0.7529479176090955,0.6993343093113831,0.9135717467903285,0.7271718538565629
loss_of_appetite,0.7382805137456582,0.7336095853008255,0.9234303215926493,0.8079888819151798,0.623583903705452,0.6828926796256971,0.6658104373272639,0.0,0.6724964512413959,0.664290775707557,0.9554379465467054,0.9622461424253672,0.7905474645219389,0.9897127222982216,0.774766323829944,0.7445773122459274,0.8762361096951778,0.7042840933484621
muscle_ache,0.6592539774499755,0.6885429360125339,0.9483834727250031,0.8450850989927058,0.5537467139377276,0.5258986876307614,0.48408602750425395,0.6724964512413959,0.0,0.7410203741742075,0.9686680813880914,0.9697653288216311,0.7286770787719554,0.9933468508427322,0.7255563220152781,0.6553849873081107,0.9250577648060319,0.7011617849879613
nausea,0.7908598644855839,0.7803484224015517,0.9151019313304721,0.7930755541174567,0.7070183989277447,0.737967526819368,0.730425788657128,0.664290775707557,0.7410203741742075,0.0,0.9503852913343247,0.9585790793844485,0.8272963575600041,0.9881450983175978,0.8109706811668749,0.7842236262684281,0.8084040350056784,0.7874741035856574
