,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.6966287878787879,0.919870288560955,0.8389134826148622,0.6895790902919212,0.7452801461632156,0.7774580530112669,0.7402539040557241,0.7527330320237957,0.8263090676883781,0.9724673490998941,0.980742987111448,0.8501104996316678,0.9919660219015454,0.8621218269534244,0.8200224971878515,0.9178114637612506,0.7939404154902869
fever,0.6966287878787879,0.0,0.8883457526080477,0.8264514126047812,0.7097138554216867,0.7634329647546648,0.77431906614786,0.7365698025351384,0.7557088804807478,0.8093163882340884,0.9719961550785005,0.9791720402372969,0.882518749685408,0.9896093647244508,0.8914934238438693,0.8486749648664926,0.8967695792108714,0.8064674660900334
altered_consciousness,0.919870288560955,0.8883457526080477,0.0,0.8776303979256008,0.8673145577151924,0.9101678808995882,0.8869484583880689,0.8612738853503185,0.894588990702963,0.8767240559307524,0.9570718481699051,0.968142422112907,0.9229308276689324,0.9677588466579292,0.9268403171007927,0.9202850980024383,0.8979464841319228,0.9097075031793133
diarrhoea,0.8389134826148622,0.8264514126047812,0.8776303979256008,0.0,0.7659672161256256,0.8113630002798768,0.8021571048015074,0.7384845693228926,0.8031088082901554,0.7533642874006453,0.9540396710208031,0.9638953702566622,0.865711659261529,0.9865208545269583,0.8708517930285046,0.858998825601879,0.8313708999158957,0.8252312400027818
fatigue,0.6895790902919212,0.7097138554216867,0.8673145577151924,0.7659672161256256,0.0,0.6622243958104088,0.6647990039131981,0.5524780711230177,0.6333531712293827,0.7300462962962962,0.9627921279212792,0.9723419540229885,0.8214046524088048,0.9884677044008895,0.834061135371179,0.7951780481307167,0.883677482792527,0.7487589509291394
headache,0.7452801461632156,0.7634329647546648,0.9101678808995882,0.8113630002798768,0.6622243958104088,0.0,0.6455035271899128,0.7058577600222976,0.6216005407935105,0.7362254958821483,0.9604016807919664,0.9700744558991982,0.7894552665344687,0.9902060359837492,0.7918658801614405,0.7387630559793451,0.8923146825911983,0.7506973691407318
joint_pain,0.7774580530112669,0.77431906614786,0.8869484583880689,0.8021571048015074,0.6647990039131981,0.6455035271899128,0.0,0.691657095123734,0.4810686142610033,0.7457235321312992,0.957773851590106,0.9658157800785434,0.8127603305785124,0.9868804664723032,0.8153047436170969,0.774580492920818,0.8856428683018278,0.7578555934304307
loss_of_appetite,0.7402539040557241,0.7365698025351384,0.8612738853503185,0.7384845693228926,0.5524780711230177,0.7058577600222976,0.691657095123734,0.0,0.6736765064649914,0.6754127358490566,0.955260637570119,0.967788362689329,0.8291630244755245,0.9869498819936138,0.8399216319004265,0.8008330177962892,0.856000515896047,0.7239676596668294
muscle_ache,0.7527330320237957,0.7557088804807478,0.894588990702963,0.8031088082901554,0.6333531712293827,0.6216005407935105,0.4810686142610033,0.6736765064649914,0.0,0.7458271458271458,0.9592553827751196,0.9701021634615384,0.8039787956400024,0.9896238651102465,0.8097471322644021,0.7646570140042724,0.8918864097363083,0.7526028476560301
nausea,0.8263090676883781,0.8093163882340884,0.8767240559307524,0.7533642874006453,0.7300462962962962,0.7362254958821483,0.7457235321312992,0.6754127358490566,0.7458271458271458,0.0,0.9506271379703535,0.965247410817031,0.8482531114110061,0.9853606284218044,0.8502166625786934,0.8175675675675675,0.7504282655246253,0.7926787073558923
nose_bleed,0.9724673490998941,0.9719961550785005,0.9570718481699051,0.9540396710208031,0.9627921279212792,0.9604016807919664,0.957773851590106,0.955260637570119,0.9592553827751196,0.9506271379703535,0.0,0.9504084014002334,0.9513478818998716,0.9769585253456221,0.9522647552234254,0.9626135569531796,0.9595724907063197,0.9597240539717967
rash,0.980742987111448,0.9791720402372969,0.968142422112907,0.9638953702566622,0.9723419540229885,0.9700744558991982,0.9658157800785434,0.967788362689329,0.9701021634615384,0.965247410817031,0.9504084014002334,0.0,0.967298209187646,0.9827586206896551,0.9634184308841843,0.9690574985180794,0.9655757575757575,0.9696316815430389
runny_nose,0.8501104996316678,0.882518749685408,0.9229308276689324,0.865711659261529,0.8214046524088048,0.7894552665344687,0.8127603305785124,0.8291630244755245,0.8039787956400024,0.8482531114110061,0.9513478818998716,0.967298209187646,0.0,0.988386225523295,0.6608078939253778,0.7968375658840441,0.9206494165398275,0.8377708539866875
seizures,0.9919660219015454,0.9896093647244508,0.9677588466579292,0.9865208545269583,0.9884677044008895,0.9902060359837492,0.9868804664723032,0.9869498819936138,0.9896238651102465,0.9853606284218044,0.9769585253456221,0.9827586206896551,0.988386225523295,0.0,0.9882352941176471,0.9878228782287823,0.9855846235985051,0.9896602658788775
sneezing,0.8621218269534244,0.8914934238438693,0.9268403171007927,0.8708517930285046,0.834061135371179,0.7918658801614405,0.8153047436170969,0.8399216319004265,0.8097471322644021,0.8502166625786934,0.9522647552234254,0.9634184308841843,0.6608078939253778,0.9882352941176471,0.0,0.7994244353361821,0.9238215973262648,0.8360415864458991
sore_throat,0.8200224971878515,0.8486749648664926,0.9202850980024383,0.858998825601879,0.7951780481307167,0.7387630559793451,0.774580492920818,0.8008330177962892,0.7646570140042724,0.8175675675675675,0.9626135569531796,0.9690574985180794,0.7968375658840441,0.9878228782287823,0.7994244353361821,0.0,0.9080349428818277,0.8161927112092766
vomiting,0.9178114637612506,0.8967695792108714,0.8979464841319228,0.8313708999158957,0.883677482792527,0.8923146825911983,0.8856428683018278,0.856000515896047,0.8918864097363083,0.7504282655246253,0.9595724907063197,0.9655757575757575,0.9206494165398275,0.9855846235985051,0.9238215973262648,0.9080349428818277,0.0,0.900527180019013
loss_of_smell_or_taste,0.7939404154902869,0.8064674660900334,0.9097075031793133,0.8252312400027818,0.7487589509291394,0.7506973691407318,0.7578555934304307,0.7239676596668294,0.7526028476560301,0.7926787073558923,0.9597240539717967,0.9696316815430389,0.8377708539866875,0.9896602658788775,0.8360415864458991,0.8161927112092766,0.900527180019013,0.0
