,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,loss_of_smell_or_taste
cough,0.0,0.7225718194254446,0.9767225325884544,0.8910521955260977,0.8111766747657063,0.8225308641975309,0.897618052653573,0.837796480489671,0.8656774697383834,0.9207317073170732,0.9861367837338263,0.9591378536147284,0.7842673869007427,0.9901176470588235,0.8012070916635232,0.8007703081232493,0.9259574468085107,0.8923076923076924
fever,0.7225718194254446,0.0,0.973764258555133,0.8813797958465329,0.7796083307429282,0.7849099099099099,0.8908127208480565,0.8051991897366644,0.8531986531986532,0.8945709281961471,0.9837858220211161,0.9504839910647803,0.8212643678160919,0.9893088965253913,0.8438089252042741,0.8181818181818182,0.9,0.9062401013620526
altered_consciousness,0.9767225325884544,0.973764258555133,0.0,0.9587628865979382,0.9456521739130435,0.9692737430167597,0.9643410852713178,0.9446640316205533,0.9553072625698324,0.937984496124031,0.9532710280373832,0.954954954954955,0.9761456371625863,0.9585798816568047,0.9604130808950087,0.9680851063829787,0.9407265774378585,0.9684873949579832
diarrhoea,0.8910521955260977,0.8813797958465329,0.9587628865979382,0.0,0.8515439429928741,0.9245719574271171,0.9179245283018868,0.824468085106383,0.9173047473200613,0.8935361216730038,0.9631268436578171,0.9104084321475626,0.8818229994700583,0.9813374805598756,0.8547182620502376,0.8998862343572241,0.8393258426966292,0.9359067734887109
fatigue,0.8111766747657063,0.7796083307429282,0.9456521739130435,0.8515439429928741,0.0,0.7507116714111427,0.8089252042740415,0.7142857142857143,0.7546082949308756,0.8277130594727161,0.9650499286733238,0.9322033898305084,0.8016771488469602,0.981118373275236,0.7825,0.7809090909090909,0.8882646691635455,0.8355297838692672
headache,0.8225308641975309,0.7849099099099099,0.9692737430167597,0.9245719574271171,0.7507116714111427,0.0,0.7980010520778538,0.8310840226382238,0.7347545860188398,0.8350202429149798,0.9720826353992184,0.970125786163522,0.8316546762589928,0.9932622122403144,0.8282870178349233,0.7226611226611227,0.9456046624575036,0.8056066176470589
joint_pain,0.897618052653573,0.8908127208480565,0.9643410852713178,0.9179245283018868,0.8089252042740415,0.7980010520778538,0.0,0.8444444444444444,0.5677083333333334,0.8317757009345794,0.9768875192604006,0.9645203679369251,0.9001593202336696,0.9918166939443536,0.8758526603001364,0.8416870415647921,0.9414270500532481,0.859663191659984
loss_of_appetite,0.837796480489671,0.8051991897366644,0.9446640316205533,0.824468085106383,0.7142857142857143,0.8310840226382238,0.8444444444444444,0.0,0.826058201058201,0.8020424194815396,0.9599217986314761,0.9209809264305178,0.8333333333333334,0.982982982982983,0.794585050029429,0.810880829015544,0.8412302576891105,0.8540880503144654
muscle_ache,0.8656774697383834,0.8531986531986532,0.9553072625698324,0.9173047473200613,0.7546082949308756,0.7347545860188398,0.5677083333333334,0.826058201058201,0.0,0.84,0.974669603524229,0.9585389930898321,0.873795761078998,0.9931584948688712,0.8505402160864346,0.7962138084632516,0.9385521885521886,0.8351724137931035
nausea,0.9207317073170732,0.8945709281961471,0.937984496124031,0.8935361216730038,0.8277130594727161,0.8350202429149798,0.8317757009345794,0.8020424194815396,0.84,0.0,0.9539170506912442,0.9518229166666666,0.9113660062565172,0.9872,0.8810483870967742,0.8578255675029869,0.8147713950762017,0.8922247882986913
nose_bleed,0.9861367837338263,0.9837858220211161,0.9532710280373832,0.9631268436578171,0.9650499286733238,0.9720826353992184,0.9768875192604006,0.9599217986314761,0.974669603524229,0.9539170506912442,0.0,0.9607250755287009,0.9728535353535354,0.9882352941176471,0.9709401709401709,0.9709219858156029,0.9719626168224299,0.9791231732776617
rash,0.9591378536147284,0.9504839910647803,0.954954954954955,0.9104084321475626,0.9322033898305084,0.970125786163522,0.9645203679369251,0.9209809264305178,0.9585389930898321,0.9518229166666666,0.9607250755287009,0.0,0.9502398081534772,0.9828178694158075,0.9401436552274541,0.9562624254473161,0.9250398724082934,0.9758364312267658
runny_nose,0.7842673869007427,0.8212643678160919,0.9761456371625863,0.8818229994700583,0.8016771488469602,0.8316546762589928,0.9001593202336696,0.8333333333333334,0.873795761078998,0.9113660062565172,0.9728535353535354,0.9502398081534772,0.0,0.9891165172855314,0.6658150229943791,0.7894959762812368,0.9306010928961749,0.8744690891930156
seizures,0.9901176470588235,0.9893088965253913,0.9585798816568047,0.9813374805598756,0.981118373275236,0.9932622122403144,0.9918166939443536,0.982982982982983,0.9931584948688712,0.9872,0.9882352941176471,0.9828178694158075,0.9891165172855314,0.0,0.9886264216972879,0.9906474820143885,0.9713114754098361,0.9956803455723542
sneezing,0.8012070916635232,0.8438089252042741,0.9604130808950087,0.8547182620502376,0.7825,0.8282870178349233,0.8758526603001364,0.794585050029429,0.8505402160864346,0.8810483870967742,0.9709401709401709,0.9401436552274541,0.6658150229943791,0.9886264216972879,0.0,0.7921626984126984,0.9066286528866714,0.888385269121813
sore_throat,0.8007703081232493,0.8181818181818182,0.9680851063829787,0.8998862343572241,0.7809090909090909,0.7226611226611227,0.8416870415647921,0.810880829015544,0.7962138084632516,0.8578255675029869,0.9709219858156029,0.9562624254473161,0.7894959762812368,0.9906474820143885,0.7921626984126984,0.0,0.9417706476530006,0.8367561874670879
vomiting,0.9259574468085107,0.9,0.9407265774378585,0.8393258426966292,0.8882646691635455,0.9456046624575036,0.9414270500532481,0.8412302576891105,0.9385521885521886,0.8147713950762017,0.9719626168224299,0.9250398724082934,0.9306010928961749,0.9713114754098361,0.9066286528866714,0.9417706476530006,0.0,0.9552715654952076
loss_of_smell_or_taste,0.8923076923076924,0.9062401013620526,0.9684873949579832,0.9359067734887109,0.8355297838692672,0.8056066176470589,0.859663191659984,0.8540880503144654,0.8351724137931035,0.8922247882986913,0.9791231732776617,0.9758364312267658,0.8744690891930156,0.9956803455723542,0.888385269121813,0.8367561874670879,0.9552715654952076,0.0
