"","V1"
"cough",-0.0867618338455081
"fever",-0.118481052445676
"altered_consciousness",-0.322778120928733
"diarrhoea",-0.176607365168001
"fatigue",-0.327118257856003
"headache",-0.281348392863744
"joint_pain",-0.375395588729728
"loss_of_appetite",-0.302801633035777
"muscle_ache",-0.39324097323073
"nausea",-0.278800473384026
"nose_bleed",-0.185149651907548
"rash",-0.172514690905329
"runny_nose",-0.0776877784821176
"seizures",-0.0865571682142755
"sneezing",-0.118492578113037
"sore_throat",-0.130114111347973
"vomiting",-0.272972621747387
"loss_of_smell_or_taste",-0.0941443524393556
