"","V1","V2"
"cough",-0.0870148251701424,0.0990515777701747
"fever",-0.1744059715252,0.596665194050638
"altered_consciousness",-0.289400154592327,0.0429073908753528
"diarrhoea",-0.168165666821226,0.0531541564757434
"fatigue",-0.316051819331226,0.0592342085888604
"headache",-0.295784604347715,-0.0778444576108397
"joint_pain",-0.362214952758667,0.0787200581695916
"loss_of_appetite",-0.28903743349991,0.0598656075046652
"muscle_ache",-0.378670666479914,0.0645363782987326
"nausea",-0.262450024351452,0.0563407435065737
"nose_bleed",-0.184206211194175,-0.0486183947513453
"rash",-0.168216560945832,-0.024252130824456
"runny_nose",-0.157577147689577,-0.573586810820855
"seizures",-0.0729445566341783,0.00260022046100844
"sneezing",-0.242566879888702,-0.484755107611969
"sore_throat",-0.150419499500576,-0.134568952048406
"vomiting",-0.229595646496518,0.128752991366927
"loss_of_smell_or_taste",-0.0950193105351066,-0.0345029663586139
