"","V1","V2"
"cough",-0.0336168437228493,0.714050732690624
"fever",-0.0560675603711788,0.176488484587144
"altered_consciousness",-0.118885034845894,0.143710951690095
"diarrhoea",-0.156126051466063,0.125560714698199
"fatigue",-0.403541047130943,0.18375770116596
"headache",-0.24482601341783,-0.167730259543426
"joint_pain",-0.379965027741036,-0.176695617245192
"loss_of_appetite",-0.334028532007186,0.223744784761913
"muscle_ache",-0.39096472158088,-0.225860886370675
"nausea",-0.254655855084441,0.140952644181096
"nose_bleed",-0.254797842513878,0.0132570137671958
"rash",-0.211268846553234,-0.0325579719240904
"runny_nose",-0.141082381676293,-0.27632127461724
"seizures",-0.15593011914728,0.0214328522108295
"sneezing",-0.17637861648041,-0.257433964007455
"sore_throat",-0.146875376981935,-0.118597691384387
"vomiting",-0.177273387699531,0.222562009579842
"loss_of_smell_or_taste",-0.15132129284115,0.0240988492811808
