"","V1"
"cough",-0.0309085213294434
"fever",-0.00548233889823291
"altered_consciousness",-0.0984904109553871
"diarrhoea",-0.140775422123727
"fatigue",-0.419766611032596
"headache",-0.391159249128825
"joint_pain",-0.336111336396486
"loss_of_appetite",-0.308358988515441
"muscle_ache",-0.365207606814422
"nausea",-0.253732074977567
"nose_bleed",-0.0566202685298877
"rash",-0.0671468234239024
"runny_nose",-0.161541502304449
"seizures",0.0025444859101022
"sneezing",-0.252395202819943
"sore_throat",-0.308498172177426
"vomiting",-0.11589884579716
"loss_of_smell_or_taste",-0.168376415950139
