"","V1","V2"
"cough",0.0267747311683356,-0.0509175586254794
"fever",0.335917583675274,-0.593118092481576
"altered_consciousness",0.458782725427907,-0.0660605774185404
"diarrhoea",0.131561199015077,-0.182955644300946
"fatigue",0.336929834202585,-0.0224892717179524
"headache",0.370177736184214,0.57379291181268
"joint_pain",0.33335982826236,0.230694546643497
"loss_of_appetite",0.33825282734272,-0.160547984468565
"muscle_ache",0.273614938806064,0.185077688431757
"nausea",0.191682091391788,0.00457047864389698
"nose_bleed",0.0575771043264997,0.0255958624776863
"rash",0.0623632836035349,-0.158972638957105
"runny_nose",0.056800838464919,0.0159815666807997
"seizures",-0.0105406127767215,-0.0733250265282352
"sneezing",0.136505810588937,-0.00742985463488338
"sore_throat",0.144100246185102,0.110511314140276
"vomiting",0.141404966449845,-0.275007797257
"loss_of_smell_or_taste",0.031820592422328,0.212862774552328
