,tested_at_week,mean_age,std_age,count
0,1,37.127230046948355,10.056233967273421,8520
1,2,37.44316309719934,10.081362660179934,7891
2,3,37.212225867725785,10.117736733891249,5791
3,4,37.54369204832818,10.177306091057455,3559
4,5,37.49034593724859,10.056125560509365,2486
5,6,36.96146245059288,10.119625419027457,2024
6,7,37.81497480201584,10.204234603135106,1389
7,8,37.38399071925754,10.14264688322645,862
8,9,37.87407407407407,10.292624790046945,675
9,10,36.85084745762712,10.052905430758878,590
10,11,36.87795992714025,10.043593240149347,549
11,12,36.755102040816325,10.052996071323058,245
12,48,37.65359477124183,10.294560245188169,306
13,49,37.37848275862069,10.095306343531613,3625
14,50,37.456647398843934,9.909225366811711,5017
15,51,37.2650929317596,9.881784349411245,7371
16,52,37.778358311563316,9.892121032701276,7273
17,53,37.18671087871445,10.110351934224278,7841
