,tested_at_week,mean_age,std_age,count
0,1,70.17665491578535,11.333400467809891,5106
1,2,69.9731106131595,11.199117028088871,4909
2,3,70.65721040189125,11.295854870272303,3807
3,4,71.05439773931472,11.387297224256052,2831
4,5,70.79629629629629,11.035369848865072,2106
5,6,70.7357268981754,11.00862552325391,1699
6,7,70.43447737909517,10.854333076059058,1282
7,8,71.09293193717278,10.945737833219791,764
8,9,70.35393258426966,10.638359098946994,534
9,10,69.73766233766234,11.011417357880738,385
10,11,69.5282392026578,10.625285873295738,301
11,12,71.91379310344827,10.931063805597283,116
12,48,70.19786096256685,11.527824950444538,187
13,49,70.17433414043583,11.241388601444392,2065
14,50,69.7618332081142,11.296772198384653,2662
15,51,69.70559210526316,11.276102228606733,3648
16,52,69.62354521038496,10.832452166232121,4468
17,53,69.64075304540421,11.168219728745303,4515
