,PCs
1,12.05509259
2,9.797782519
3,9.677777423
4,14.67185259
5,10.9222706
6,-7.646215625
7,-0.63859132
8,12.74051466
9,8.589090533
10,13.61539976
11,13.97821496
12,7.867100304
13,-3.192863887
14,8.81534011
15,4.849063164
16,13.98977189
17,12.47411445
18,6.843833248
19,1.864453229
20,3.163189013
21,12.92009169
22,14.81205857
23,5.28944857
24,13.48981456
25,12.88072064
26,-2.873421472
27,15.11782983
28,12.10430863
29,6.740268397
30,-1.478622735
31,15.11782983
32,4.196173299
33,14.81205857
34,14.07599777
35,12.74051466
36,12.05509259
37,11.52791301
38,12.33390847
39,12.33390847
40,13.98977189
41,13.98977189
42,14.07599777
43,12.93586767
44,6.059468198
45,14.25811168
46,1.846721461
47,14.81205857
48,-2.261275436
49,12.92009169
50,14.25811168
51,6.39785601
52,14.67185259
53,14.07599777
54,14.67185259
55,13.85168014
56,12.92009169
57,13.83800899
58,0.670014386
59,3.913925977
60,12.77988571
61,-2.789309813
62,13.97821496
63,0.071337526
64,13.32669788
65,1.804881302
66,7.111248779
67,10.26396064
68,-2.206677438
69,12.13572664
70,2.364410563
71,14.23772822
72,5.377931761
73,5.377931761
74,8.638306576
75,15.11782983
76,7.250439439
77,-6.306465627
78,-2.89578525
79,14.67185259
80,12.19529856
81,11.59784768
82,9.817983398
83,12.57185929
84,0.521922239
85,14.81205857
86,14.81205857
87,3.730457287
88,12.68286455
89,2.315168412
90,14.81205857
91,13.32669788
92,9.271171233
93,14.81205857
94,11.68865533
95,10.31317668
96,12.13572664
97,1.050415269
98,8.391069623
99,9.524747976
100,14.00695381
101,6.751825327
102,7.868366403
103,15.11782983
104,5.56285224
105,14.67185259
106,3.939207387
107,14.81205857
108,-1.177421562
109,3.67088536
110,12.52348707
111,14.81205857
112,13.32669788
113,12.92009169
114,3.5490555
115,14.67185259
116,11.07569176
117,-3.490523205
118,0.400447446
119,9.12220544
120,12.77988571
121,12.24451461
122,11.47225075
123,7.756008574
124,14.81205857
125,14.81205857
126,5.92819543
127,4.772289346
128,6.617992691
129,8.597541664
130,13.1864919
131,10.91547772
132,14.81205857
133,12.19529856
134,14.81205857
135,5.201879469
136,10.74443867
137,4.868699374
138,2.277552466
139,7.771268684
140,8.735800128
141,9.314607337
142,10.65190365
143,8.981999465
144,12.37172416
145,14.07599777
146,6.215416607
147,-5.199181952
148,8.052123363
149,2.264337283
150,3.195969598
151,11.60911535
152,13.98977189
153,3.987924296
154,0.370159333
155,8.811470453
156,1.344208914
157,9.271171233
158,0.924944512
159,7.315773309
160,14.81205857
161,8.990932672
162,8.932783421
163,9.618205496
164,7.190867512
165,8.676228201
166,15.11782983
167,2.052637961
168,11.84902094
169,14.81205857
170,7.356573347
171,7.799961431
172,5.182189891
173,9.181777367
174,6.398369815
175,10.79861324
176,13.40358868
177,12.19529856
178,12.24451461
179,13.32669788
180,15.11782983
181,10.58287125
182,14.81205857
183,2.805886262
184,4.294392431
185,6.748657341
186,9.857354446
187,-4.33299399
188,15.11782983
189,10.77527175
190,15.11782983
191,15.11782983
192,9.427153189
193,0.521922239
194,10.8040106
195,5.738962922
196,11.17499098
197,2.139142227
198,10.78682868
199,15.11782983
200,1.532393645
201,2.569318191
202,15.11782983
203,14.25811168
204,12.92009169
205,9.857354446
206,5.843909119
207,2.929269221
208,7.267758313
209,5.868623503
210,4.205021072
211,8.529518606
212,5.473284985
213,15.11782983
214,11.79853737
215,8.601332562
216,-0.407343544
217,6.591371699
218,8.192329338
219,15.11782983
220,11.90115861
221,6.059468198
222,5.34338476
223,15.11782983
224,15.11782983
225,12.32677375
226,14.81205857
227,13.1864919
228,15.11782983
229,14.67185259
230,13.48981456
231,7.12280571
232,-2.731110667
233,-1.467065804
234,14.81205857
235,1.455465462
236,9.324612847
237,3.138682242
238,14.81205857
239,11.47225075
240,13.1864919
241,14.67185259
242,7.868366403
243,13.63002053
244,14.81205857
245,15.11782983
246,7.455979284
247,-6.904205771
248,8.589090533
249,10.92703465
250,9.213607591
251,14.81205857
252,-1.528266758
253,4.977829191
254,14.07599777
255,4.207135292
256,8.537936776
257,14.07599777
258,-3.471161616
259,8.324188637
260,0.587256109
261,1.998936253
262,13.9357918
263,14.67185259
264,-6.590712416
265,14.81205857
266,11.51373602
267,12.88072064
268,14.67185259
269,7.426771303
270,13.32669788
271,8.789625077
272,12.26912363
273,4.80370735
274,15.11782983
275,-5.276375116
276,-3.264575751
277,9.181777367
278,12.19529856
279,11.33770983
280,14.25811168
281,-1.231068277
282,3.285352758
283,13.83800899
284,13.97821496
285,4.854845205
286,4.791204285
287,15.11782983
288,14.07599777
289,2.11996695
290,6.326527481
291,14.81205857
292,9.469576353
293,-7.726492446
294,15.11782983
295,14.1179057
296,9.271171233
297,7.072042551
298,5.61349096
299,-3.631846045
300,15.11782983
301,1.197709195
302,6.604684299
303,11.50006487
304,8.936124796
305,12.88072064
306,12.05509259
307,9.271171233
308,14.81205857
309,11.15187044
310,15.11782983
311,5.05954407
312,13.98977189
313,2.539486046
314,15.11782983
315,15.11782983
316,15.11782983
317,12.05509259
318,8.932783421
319,7.999739333
320,7.624885948
321,-4.055459506
322,3.913925977
323,13.26904776
324,14.81205857
325,-4.19094276
326,10.85590579
327,14.81205857
328,12.39210762
329,14.23772822
330,13.48981456
331,4.754990441
332,4.799655416
333,15.11782983
334,14.25811168
335,1.732326574
336,13.4207706
337,6.15220344
338,6.644055346
339,13.00702968
340,13.81213444
341,15.11782983
342,7.335923641
343,12.92009169
344,13.53223772
345,2.500114999
346,12.24451461
347,15.11782983
348,7.190867512
349,9.836120591
350,14.25811168
351,13.98977189
352,13.32669788
353,0.381716264
354,13.39203175
355,12.19529856
356,10.26396064
357,11.65833139
358,13.97821496
359,12.05509259
360,14.67185259
361,14.67185259
362,9.726993467
363,-3.275645525
364,-5.787436199
365,7.338008541
366,8.469244766
367,12.92009169
368,13.40358868
369,-2.417841019
370,-0.188175734
371,12.57185929
372,9.717148471
373,11.334159
374,11.07569176
375,15.11782983
376,3.453549148
377,-1.607271779
378,8.627012158
379,12.10430863
380,14.81205857
381,8.784361891
382,6.744890274
383,4.128130271
384,12.92009169
385,-1.039538491
386,14.25811168
387,3.446375317
388,15.11782983
389,9.041571392
390,2.6614892
391,15.11782983
392,7.741222983
393,14.09752225
394,8.676228201
395,13.98977189
396,10.73812952
397,-0.816228774
398,15.11782983
399,8.941716628
400,6.261875605
401,7.235461678
402,4.09704411
403,4.415055776
404,15.11782983
405,12.48989043
406,10.53027346
407,14.81205857
408,9.744996617
409,4.754990441
410,9.041571392
411,14.81205857
412,2.942966479
413,10.34492043
414,10.26396064
415,13.07607364
416,9.6512828
417,15.11782983
418,13.97821496
419,-2.652813926
420,7.331399233
421,12.7386899
422,9.857354446
423,-1.246299008
424,8.932783421
425,14.67185259
426,14.81205857
427,13.65154501
428,7.715492544
429,7.387224584
430,-3.928924682
431,-4.486369043
432,11.17499098
433,14.25811168
434,7.266846524
435,5.43747758
436,11.79853737
437,5.959613435
438,11.14473572
439,13.32669788
440,8.437327627
441,5.413174234
442,14.67185259
443,13.32669788
444,10.7889429
445,11.65182777
446,8.647289678
447,10.89357785
448,3.297953786
449,10.864839
450,9.817983398
451,12.19529856
